adm4_pcode,rwi_max,rwi_mean,rwi_min
PH137401021,0.738502418,0.71909055,0.695647878
PH137401021,0.738382482,0.71407586,0.680723744
PH137401021,0.738382482,0.714767317,0.682798115
PH137401021,0.791051573,0.773048346,0.746536276
PH137401021,0.804374,0.798123183,0.788769422
PH137401021,0.810749449,0.763041304,0.671670179
PH137401022,0.732910898,0.691290232,0.643820805
PH137401022,0.732910898,0.691840732,0.643429481
PH137401022,0.732910898,0.692657683,0.643429481
PH137401022,0.735742631,0.693419414,0.643820805
PH137401022,0.794317243,0.736380301,0.6848522
PH137401022,0.803072826,0.785859112,0.756758279
PH137401022,0.794868804,0.783214027,0.756655029
PH137401023,0.7648559,0.724340542,0.705725808
PH137401023,0.7648559,0.722827972,0.701359986
PH137401023,0.7648559,0.721142216,0.698339071
PH137401023,0.7648559,0.721402692,0.69804482
PH137401023,0.777159162,0.750379626,0.721018119
PH137401023,0.792281662,0.784539975,0.77303906
PH137401023,0.795771434,0.784588397,0.772017855
PH137401024,0.738880612,0.715170079,0.695681669
PH137401024,0.738502418,0.713368318,0.695647878
PH137401024,0.738382482,0.7096073,0.680723744
